,stockiid,Booling,Unnamed: 2,追隨外資,Unnamed: 4,追隨投信,Unnamed: 6,KD 交叉,Unnamed: 8,MACD 交叉,Unnamed: 10,均線交叉,Unnamed: 12,type
103,3219,366.56%,25,0.00%,7,0.00%,0,76.54%,24,-56.42%,7,51.68%,24,半導體業
104,3221,-42.69%,24,1091.21%,181,0.00%,0,138.99%,56,30.17%,15,64.17%,48,通信網路業
105,3224,13.50%,25,256.56%,153,0.00%,0,120.70%,44,18.73%,18,36.83%,52,電子通路業
106,3226,18.34%,28,0.00%,2,0.00%,0,33.37%,53,-16.63%,13,31.63%,47,電機機械
107,3227,104.98%,23,48.51%,111,-458.51%,95,209.48%,44,-0.21%,15,106.35%,47,半導體業
108,3228,169.29%,28,846.28%,75,0.00%,0,169.62%,52,79.96%,15,60.38%,44,半導體業
109,3230,53.20%,29,58.38%,6,0.00%,0,104.18%,51,22.27%,18,34.40%,47,光電業
110,3232,246.45%,26,395.64%,81,0.00%,0,106.47%,53,61.80%,16,128.68%,55,電子通路業
111,3234,120.84%,24,-306.11%,133,0.00%,4,118.91%,49,-52.34%,14,55.70%,49,通信網路業
112,3236,-39.09%,19,238.88%,87,0.00%,0,68.17%,48,29.95%,19,36.45%,45,電子零組件業
113,3252,59.98%,45,-120.76%,6,0.00%,0,-11.22%,51,-26.35%,16,4.09%,47,觀光事業
114,3259,106.86%,35,52.77%,23,0.00%,0,125.97%,46,-2.46%,14,-28.96%,40,半導體業
115,3260,-66.44%,22,709.55%,177,-904.14%,43,124.57%,46,9.98%,15,-17.70%,46,半導體業
116,3264,155.89%,15,296.29%,140,-593.37%,93,113.59%,53,64.26%,17,4.20%,43,半導體業
117,3265,107.87%,20,127.77%,132,6.85%,2,74.09%,51,16.95%,15,16.53%,49,半導體業
118,3268,119.44%,26,0.00%,0,0.00%,0,1.47%,52,4.07%,15,132.81%,50,半導體業
119,3272,128.99%,25,305.68%,109,0.00%,0,144.21%,45,-72.06%,16,-25.30%,47,電腦及週邊設備業
120,3276,63.27%,36,93.21%,42,0.00%,0,83.36%,44,15.89%,19,22.80%,44,電子零組件業
121,3284,-28.13%,36,152.36%,22,0.00%,0,42.36%,48,-13.57%,16,-15.67%,43,其他
122,3285,14.91%,25,-21.65%,44,0.00%,0,57.81%,48,15.44%,17,57.91%,41,其他電子業
123,3287,218.11%,30,33.14%,8,0.00%,0,90.85%,51,123.81%,15,53.00%,48,電腦及週邊設備業
124,3288,227.27%,24,0.00%,1,0.00%,0,43.62%,41,29.61%,15,371.75%,39,電子零組件業
125,3289,-169.16%,20,-69.67%,135,14.13%,17,77.77%,47,3.58%,18,36.09%,47,其他電子業
126,3290,-189.69%,27,129.29%,157,0.00%,0,50.39%,46,-5.78%,15,38.95%,45,電子零組件業
127,3293,132.28%,19,448.30%,197,556.21%,90,180.99%,43,33.02%,20,71.90%,44,文化創意業
128,3294,-78.94%,30,1513.61%,98,0.00%,0,90.54%,46,-46.64%,20,70.41%,48,電子零組件業
129,3297,88.90%,25,0.00%,1,0.00%,0,43.37%,52,48.29%,20,-14.10%,42,光電業
130,3303,80.53%,27,208.68%,88,0.00%,1,51.18%,51,30.16%,14,46.68%,49,其他電子業
131,3306,1.45%,27,-7.31%,10,0.00%,0,45.46%,47,19.06%,16,20.03%,47,通信網路業
132,3310,-38.53%,40,182.35%,54,0.00%,0,137.24%,46,42.54%,14,43.27%,40,電子零組件業
