,Booling,,發繦戈,,發繦щ獺,,KD ユ,,MACD ユ,,А絬ユ,
布絏,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计
1616,32.59%,28,-129.44%,38,0.00%,0,75.56%,52,-6.11%,16,1.72%,37
1617,31.90%,26,241.91%,51,0.00%,0,86.70%,47,-10.43%,15,105.68%,35
1618,121.09%,30,-42.40%,68,0.00%,0,75.48%,49,1.89%,15,21.46%,46
1626,30.28%,23,308.50%,99,-30.31%,5,140.98%,48,-19.85%,14,55.99%,40
1701,48.39%,14,-332.84%,194,0.00%,1,49.87%,57,-12.60%,15,35.15%,39
1702,16.00%,33,113.95%,158,-84.70%,39,53.11%,48,-5.90%,18,-24.37%,49
1707,137.15%,27,-160.18%,152,718.73%,83,91.11%,50,29.41%,17,26.34%,49
1708,48.05%,25,-274.04%,160,-13.23%,13,40.47%,50,-14.04%,20,14.36%,43
1709,-84.70%,33,37.58%,118,-3.28%,2,51.94%,45,-2.67%,17,9.24%,46
1710,71.51%,25,-670.31%,176,-391.24%,43,83.57%,44,-12.18%,17,-20.87%,43
1711,45.13%,30,-441.72%,240,0.00%,0,45.19%,42,-11.55%,15,21.81%,44
1712,18.69%,14,0.86%,166,-12.22%,7,38.25%,55,17.32%,16,41.97%,39
1713,32.04%,24,50.15%,36,0.00%,0,36.21%,54,9.35%,17,39.28%,46
1714,47.22%,26,-453.93%,195,0.00%,2,65.81%,42,28.82%,21,44.35%,46
1717,-3.24%,20,-168.20%,163,536.13%,36,26.25%,50,-14.71%,14,14.73%,42
1718,21.77%,21,-181.50%,159,0.00%,0,111.43%,50,-19.33%,16,2.36%,43
1720,48.98%,22,316.69%,165,-3.76%,2,63.29%,46,9.80%,18,55.06%,43
1721,19.24%,37,-155.92%,144,0.00%,0,25.92%,51,-53.71%,15,0.29%,45
1722,74.94%,19,-102.99%,141,38.96%,80,57.69%,44,31.96%,17,11.31%,45
1723,-1.37%,25,24.39%,204,5.19%,13,18.32%,52,-8.40%,15,19.41%,43
1724,13.14%,25,-30.11%,17,0.00%,0,10.99%,52,-17.32%,18,-1.20%,40
1725,39.30%,16,-58.17%,27,0.00%,0,31.41%,52,16.61%,17,53.96%,37
1726,-2.52%,24,46.32%,214,0.00%,0,12.35%,47,-9.98%,17,-2.84%,48
1727,-23.60%,38,106.04%,43,0.00%,0,46.82%,45,-26.76%,17,1.59%,41
1730,39.23%,15,420.52%,119,0.00%,0,61.58%,53,-5.81%,15,55.10%,46
1731,79.96%,24,-194.21%,97,0.00%,0,21.59%,50,5.78%,20,18.30%,36
1732,34.24%,30,127.99%,29,0.00%,0,68.72%,53,-16.97%,18,71.42%,37
1733,30.06%,26,58.63%,147,31.01%,9,35.50%,47,-16.64%,13,11.80%,51
1734,50.59%,29,208.47%,207,0.00%,0,31.21%,50,-5.56%,15,34.20%,41
1735,69.60%,22,-31.10%,22,0.00%,0,40.56%,46,-26.54%,14,43.60%,44
1736,-8.82%,28,1052.04%,97,-57.10%,16,124.86%,44,-11.72%,11,68.89%,44
1737,11.91%,27,-318.18%,120,1.69%,1,34.45%,52,18.11%,15,25.62%,43
1760,297.33%,14,-201.18%,65,34.28%,35,207.52%,34,38.49%,11,30.21%,33
1762,181.37%,22,137.07%,124,55.51%,8,168.92%,47,90.75%,18,61.64%,46
1773,39.43%,16,57.77%,159,-41.57%,16,91.94%,49,8.82%,13,94.40%,46
1776,-11.35%,22,-69.27%,8,0.00%,0,4.63%,51,-28.20%,16,52.77%,51
1783,326.80%,26,84.08%,120,0.00%,0,129.25%,50,25.74%,15,42.27%,46
1786,134.93%,26,245.86%,104,-37.78%,2,195.04%,46,9.64%,14,-12.93%,43
1789,19.48%,25,-1101.31%,237,-16.76%,2,113.46%,46,4.55%,17,-22.36%,43
1795,24.27%,3,68.07%,18,-14.79%,4,30.19%,6,45.45%,1,-22.39%,7
1802,4.02%,22,468.07%,176,-343.49%,47,58.36%,51,-28.84%,13,-49.28%,42
1805,220.95%,39,-2.88%,33,0.00%,0,73.49%,52,7.63%,12,85.59%,35
1806,0.26%,36,21.95%,70,0.00%,0,34.87%,47,-24.61%,11,10.40%,48
1808,-5.64%,22,533.36%,188,56.75%,2,103.83%,48,8.83%,15,15.53%,39
1809,83.41%,23,-184.30%,153,0.00%,0,73.20%,50,-14.33%,15,47.48%,38
